action_id,run_id,action_type,status,proposed_epoch,expiration_epoch,bot_recommendation,bot_score,bot_confidence,network_majority,network_agreement,top10_majority,top10_agreement,actual_drep_yes_pct,actual_drep_no_pct,actual_drep_abstain_pct,top10_vote_counts_json,explain_hash,input_hash,snapshot_bundle_hash,soul_commit,resource_registry_commit,anchor_url
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpx66gmxa,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpx66gmxa-b60d057a2e84,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,146.0,59.0,19.0,{},c4fa15513e9bfc7f4f7e3807c3ee05161f2a023873a1707d5511a0907aa44f87,,,,,ipfs://bafkreihd2hqcfvssop4aqxxqoch63ds6mkpapsfm7j7onyvemzayiby4ua
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpyflfc4s,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpyflfc4s-0905f91a0c5e,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,153.0,19.0,6.0,{},9e0777ac8b7460bfb471cd919ad107eb04c8e2f5a1acdb2d3c341e6c87e8349c,,,,,ipfs://bafkreicrrim5wicmsnrjpw7gp52jmebn7a2ly6j4eopjkvdsol6adyboqu
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpz4s2af8,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlpz4s2af8-0ef31eb8384d,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,129.0,26.0,6.0,{},f70315b29f91432526dffd2a8bef433af2bcaf61b8505775f80e03a2e259f401,,,,,ipfs://bafkreiceukwtpmes66twb3axkdmftpg3p5vyfolgcyhkentlbuilc274fq
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq2yeptuu,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq2yeptuu-84432057bd6e,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,185.0,14.0,5.0,{},44f06852d904ceb8e79b7e1ae79fe30bd34a6a4173aac38a21c2ed686a608ce4,,,,,ipfs://bafkreibcranrq3y5eh7pcjuvq2tcmlapfw2pc7x3nazwp5lonx6docoayu
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq5nrw6t9,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq5nrw6t9-1322bd47a7b0,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,139.0,32.0,5.0,{},3142f27f8162c371072f1edf97ca1eb77a3d3697ef65b4133fea1f0884949162,,,,,ipfs://bafkreicc2dbqlrkqhahasq2qqho3lry2axt4adrfnamro43m56v5sib7hi
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq63cfnf0,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq63cfnf0-00917b3ccbb4,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,152.0,13.0,10.0,{},909253e251a1ac88dbe3fb79d6d7701e6a9c33da49bb03a2d8ee86b44545a6ae,,,,,ipfs://bafkreienjc55atyjxfy7ij2mthoud6m2um5snifhjvurflfujf4s2sa3le
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq77jt4x4,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlq77jt4x4-9e6b0e3e4314,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,164.0,17.0,5.0,{},9070fe8aad8dfdc24864f9f27033fce730aae127679daf958a16fc59b3690161,,,,,ipfs://bafkreians5wdbxjgttbajinzfrhdxd7q7mzpfahsyyjntcq4xekts4qasu
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqczags6z,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqczags6z-f43cb2ed1639,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,157.0,20.0,6.0,{},b311c051d9d66a03f2c0f2b5882895cf8d10208ad03be7dfbf51452d432ad4f1,,,,,ipfs://bafkreig7hi75t33nvu5t6y4hqf26thdpwvwvqcuzo3o3ehccslrwtf6bwe
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqghuqg03,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqghuqg03-5d260e74ba03,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,185.0,12.0,6.0,{},4469bc8649b76c64b52592276d6bcd653a6d4b4cda98b6249af44019978313a5,,,,,ipfs://bafkreigm5xreg7ezyedhowwecyy2qnue3bfhbw5dex5odmvunddeg5jsem
gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqj0vdlhj,gov_action13tfag48nf94rtjcdq7c06vhkslmxxw9h6c88sl7q5g5nnewcsvlqj0vdlhj-8671db1e97af,TreasuryWithdrawals,enacted,570,577,YES,0.1667,0.6867,YES,aligned,UNKNOWN,unknown,162.0,19.0,5.0,{},ec28f672fda16895ec16d2393f42b91c9ecb5fbfe104a578ac2bfc7e9a3e46e4,,,,,ipfs://bafkreibwg74hpx5vyyixzggxdkunrqy6kdkx2mpp57r6fknkqe7z263omm
